      0   4.58968696487922311888e+00    -1.00000000000000000000e+00     0.0000000000e+00      
    286   7.99814417156949342136e-03     3.06160460676574665999e-15     7.8125000000e-03  grdl
    287   7.99696732821369125899e-03     3.97427980898036611809e-15     1.5625000000e-02  grdl
    288   7.99483397352638430755e-03     2.53474361289337494281e-15     7.8125000000e-03  grdl
    289   7.99317857906451517680e-03     2.84696726106231154383e-15     7.8125000000e-03  grdl
    290   7.99224387729531755842e-03     3.87918536493924970009e-15     1.5625000000e-02  grdl
    291   7.98996767764819509905e-03     2.84501504529703131049e-15     7.8125000000e-03  grdl
    292   7.98825056309932120258e-03     3.87690152575825948027e-15     7.8125000000e-03  grdl
    293   7.98759663963557152433e-03     2.97007398159264926217e-15     1.5625000000e-02  grdl
    294   7.98515192557658869121e-03     2.95824812573826518189e-15     7.8125000000e-03  grdl
    295   7.98336125268231562579e-03     4.14010570254538999419e-15     7.8125000000e-03  grdl
    296   7.98303336217637098116e-03     2.86673646623276670406e-15     1.5625000000e-02  grdl
    297   7.98039010289163311396e-03     3.05343720060250029085e-15     7.8125000000e-03  grdl
    298   7.97851202901728173700e-03     3.55819797514008008652e-15     7.8125000000e-03  grdl
    299   7.97698639808568782383e-03     2.91400881041763677881e-15     7.8125000000e-03  grdl
    300   7.97568622179399555616e-03     3.07202802086634943684e-15     1.5625000000e-02  grdl
    301   7.97370455926091174781e-03     4.79926076329806303753e-15     7.8125000000e-03  grdl
    302   7.97213510200591758681e-03     5.67153854081943254179e-15     7.8125000000e-03  grdl
    303   7.97104505727726404818e-03     3.90442200758385323371e-15     1.5625000000e-02  grdl
    304   7.96894087069051869354e-03     2.02691753597009998172e-15     7.8125000000e-03  grdl
    305   7.96731884530884823525e-03     6.21045962858211207090e-15     7.8125000000e-03  grdl
    306   7.96647224663958423985e-03     3.08659797916485314688e-15     1.5625000000e-02  grdl
    307   7.96422338533497344015e-03     5.11901939307530660867e-15     7.8125000000e-03  grdl
    308   7.96253857277062944420e-03     1.56358735974925337683e-15     7.8125000000e-03  grdl
    309   7.96197444586791390486e-03     3.96617582956370396085e-15     1.5625000000e-02  grdl
    310   7.95955499548446285263e-03     1.74670378289634568156e-15     7.8125000000e-03  grdl
    311   7.95779544718554221472e-03     4.09483629089696953096e-15     7.8125000000e-03  grdl
    312   7.95755950267925012132e-03     4.38401118261816525124e-15     1.5625000000e-02  grdl
    313   7.95493914331958651420e-03     2.95391526187258672675e-15     7.8125000000e-03  grdl
    314   7.95309088595607706351e-03     5.48115279004304796544e-15     7.8125000000e-03  grdl
    315   7.95159820276010453899e-03     3.99461835268290145893e-15     7.8125000000e-03  grdl
    316   7.95037990457230989150e-03     4.23388156636066100872e-15     1.5625000000e-02  grdl
    317   7.94842659578698200462e-03     4.62953558765477874078e-15     7.8125000000e-03  grdl
    318   7.94688919644325093838e-03     3.78445684563378243116e-15     7.8125000000e-03  grdl
    319   7.94588212455989151284e-03     3.87675551658702201435e-15     1.5625000000e-02  grdl
    320   7.94380464605034565528e-03     2.69172070031928529484e-15     7.8125000000e-03  grdl
    321   7.94221370696155705426e-03     3.30889095040354124297e-15     7.8125000000e-03  grdl
    322   7.94145152036143837926e-03     2.74389492370366606050e-15     1.5625000000e-02  grdl
